BBC Two Wal HD,1:0:19:1B00:802:2:11A0000:0:0:0:
BBC Two HD,1:0:19:1B1C:802:2:11A0000:0:0:0:
BBC One HD,1:0:19:1B1D:802:2:11A0000:0:0:0:
BBC One NI HD,1:0:19:1B1F:802:2:11A0000:0:0:0:
CBBC HD,1:0:19:1B28:802:2:11A0000:0:0:0:
Channel 5 HD,1:0:19:1E46:809:2:11A0000:0:0:0:
BBC One ScotHD,1:0:19:22C5:80D:2:11A0000:0:0:0:
BBC One Wal HD,1:0:19:22CF:80D:2:11A0000:0:0:0:
BBC NEWS HD,1:0:19:22D9:80D:2:11A0000:0:0:0:
BBCScotlandHD,1:0:19:22DC:80D:2:11A0000:0:0:0:
BBC Four HD,1:0:19:22E3:80D:2:11A0000:0:0:0:
CBeebies HD,1:0:19:22E4:80D:2:11A0000:0:0:0:
ITV Wales HD,1:0:19:50FA:80F:2:11A0000:0:0:0:
ITV HD,1:0:19:5104:80F:2:11A0000:0:0:0:
ITV HD,1:0:19:510E:80F:2:11A0000:0:0:0:
ITV HD,1:0:19:5118:80F:2:11A0000:0:0:0:
ITV HD,1:0:19:5122:80F:2:11A0000:0:0:0:
STV HD,1:0:19:5140:810:2:11A0000:0:0:0:
UTV HD,1:0:19:514A:810:2:11A0000:0:0:0:
ITV HD,1:0:19:5168:810:2:11A0000:0:0:0:
ITV HD,1:0:19:5172:810:2:11A0000:0:0:0:
ITV HD,1:0:19:5208:812:2:11A0000:0:0:0:
ITV HD,1:0:19:521C:812:2:11A0000:0:0:0:
ITV HD,1:0:19:5226:812:2:11A0000:0:0:0:
ITV HD,1:0:19:5230:812:2:11A0000:0:0:0:
Ideal World HD,1:0:19:C440:837:2:11A0000:0:0:0:
Create&CraftHD,1:0:19:C445:837:2:11A0000:0:0:0:
S4C HD,1:0:19:CD55:844:2:11A0000:0:0:0:
FRANCE 24 HD,1:0:19:CD5A:844:2:11A0000:0:0:0:
QUEST HD,1:0:19:CD64:844:2:11A0000:0:0:0:
NHK World HD,1:0:19:CF9B:83A:2:11A0000:0:0:0:
RT HD,1:0:19:CF9C:83A:2:11A0000:0:0:0:
Arirang TV HD,1:0:19:CF9E:83A:2:11A0000:0:0:0:
CGTN HD,1:0:19:CF9F:83A:2:11A0000:0:0:0:
Smithsonian HD,1:0:19:D7E7:82C:2:11A0000:0:0:0:
TRT World HD,1:0:19:D7E9:82C:2:11A0000:0:0:0:
DAYSTAR HD,1:0:19:D809:838:2:11A0000:0:0:0:
Bloomberg HD,1:0:19:D860:838:2:11A0000:0:0:0:
Pick,1:0:1:16C8:7E3:2:11A2F26:0:0:0:
Pick+1,1:0:1:16CC:7E3:2:11A2F26:0:0:0:
Together,1:0:1:16F0:7D7:2:11A0000:0:0:0:
Challenge,1:0:1:178F:7D7:2:11A0000:0:0:0:
Forces TV,1:0:1:1791:7D7:2:11A0000:0:0:0:
Quest Red+1,1:0:1:1843:7F3:2:11A0000:0:0:0:
QUEST,1:0:1:1845:7F3:2:11A0000:0:0:0:
Quest Red,1:0:1:1846:7F3:2:11A0000:0:0:0:
QUEST+1,1:0:1:1847:7F3:2:11A0000:0:0:0:
BBC One Lon,1:0:1:189D:7FD:2:11A0000:0:0:0:
BBC Two,1:0:1:189E:7FD:2:11A0000:0:0:0:
BBC Four,1:0:1:18AC:7FD:2:11A0000:0:0:0:
CBeebies,1:0:1:18AE:7FD:2:11A0000:0:0:0:
BBC One West,1:0:1:18C5:7FD:2:11A0000:0:0:0:
BBC One East W,1:0:1:18CF:7FD:2:11A0000:0:0:0:
BBC One CI,1:0:1:18D9:7FD:2:11A0000:0:0:0:
BBC RB 1,1:0:1:18F6:7FD:2:11A0000:0:0:0:
Sky News,1:0:1:1904:7E3:2:11A2F26:0:0:0:
BBC Scotland,1:0:1:1914:7FF:2:11A0000:0:0:0:
BBC One Scot,1:0:1:1915:7FF:2:11A0000:0:0:0:
BBC ALBA,1:0:1:1917:7FF:2:11A0000:0:0:0:
BBC One N West,1:0:1:1929:7FF:2:11A0000:0:0:0:
BBC One Yorks,1:0:1:1933:7FF:2:11A0000:0:0:0:
BBC One S East,1:0:1:193D:7FF:2:11A0000:0:0:0:
BBC One NE&C,1:0:1:1947:7FF:2:11A0000:0:0:0:
YESTERDAY,1:0:1:1969:7E6:2:11A0000:0:0:0:
Dave,1:0:1:196A:7E6:2:11A0000:0:0:0:
Drama,1:0:1:197A:7E6:2:11A0000:0:0:0:
Channel 5,1:0:1:1E15:809:2:11A0000:0:0:0:
5 USA,1:0:1:1E1E:809:2:11A0000:0:0:0:
5USA+1,1:0:1:1E1F:809:2:11A0000:0:0:0:
5STAR,1:0:1:1E23:809:2:11A0000:0:0:0:
5SELECT,1:0:1:1E24:809:2:11A0000:0:0:0:
5STAR+1,1:0:1:1E25:809:2:11A0000:0:0:0:
Channel 5+1,1:0:1:1E28:809:2:11A0000:0:0:0:
Paramount,1:0:1:1E50:809:2:11A0000:0:0:0:
E4+1,1:0:1:206C:808:2:11A0000:0:0:0:
Channel 4+1,1:0:1:2077:808:2:11A0000:0:0:0:
Channel 4+1,1:0:1:2078:808:2:11A0000:0:0:0:
Channel 4+1,1:0:1:207A:808:2:11A0000:0:0:0:
Channel 4+1,1:0:1:207C:808:2:11A0000:0:0:0:
Channel 4,1:0:1:2080:808:2:11A0000:0:0:0:
More4,1:0:1:2094:808:2:11A0000:0:0:0:
Film4+1,1:0:1:2095:808:2:11A0000:0:0:0:
Channel 4,1:0:1:23FB:7F9:2:11A0000:0:0:0:
Channel 4,1:0:1:23FC:7F9:2:11A0000:0:0:0:
Channel 4,1:0:1:23FD:7F9:2:11A0000:0:0:0:
Channel 4,1:0:1:23FE:7F9:2:11A0000:0:0:0:
Channel 4,1:0:1:2400:7F9:2:11A0000:0:0:0:
Film4,1:0:1:2404:7F9:2:11A0000:0:0:0:
More4+1,1:0:1:240E:7F9:2:11A0000:0:0:0:
E4,1:0:1:2419:7F9:2:11A0000:0:0:0:
Hochanda,1:0:1:2541:82F:2:11A0000:0:0:0:
ITV,1:0:1:274C:7FC:2:11A0000:0:0:0:
ITV2,1:0:1:2756:7FC:2:11A0000:0:0:0:
CITV,1:0:1:2757:7FC:2:11A0000:0:0:0:
ITV4,1:0:1:2758:7FC:2:11A0000:0:0:0:
ITV4+1,1:0:1:2759:7FC:2:11A0000:0:0:0:
ITVBe,1:0:1:275B:7FC:2:11A0000:0:0:0:
ITV,1:0:1:2760:7FC:2:11A0000:0:0:0:
ITV,1:0:1:276A:7FC:2:11A0000:0:0:0:
ITV+1,1:0:1:276B:7FC:2:11A0000:0:0:0:
ITV,1:0:1:2774:7FC:2:11A0000:0:0:0:
ITV+1,1:0:1:2775:7FC:2:11A0000:0:0:0:
ITV Border,1:0:1:2788:805:2:11A0000:0:0:0:
ITV+1,1:0:1:278D:805:2:11A0000:0:0:0:
ITV,1:0:1:2792:805:2:11A0000:0:0:0:
ITVBe+1,1:0:1:279B:805:2:11A0000:0:0:0:
ITV,1:0:1:279C:805:2:11A0000:0:0:0:
ITV+1,1:0:1:27A1:805:2:11A0000:0:0:0:
ITV,1:0:1:27A6:805:2:11A0000:0:0:0:
ITV+1,1:0:1:27AB:805:2:11A0000:0:0:0:
ITV,1:0:1:27B0:805:2:11A0000:0:0:0:
ITV2+1,1:0:1:27B5:805:2:11A0000:0:0:0:
ITV,1:0:1:27D8:806:2:11A0000:0:0:0:
STV,1:0:1:27E2:806:2:11A0000:0:0:0:
STV,1:0:1:27EC:806:2:11A0000:0:0:0:
STV,1:0:1:27ED:806:2:11A0000:0:0:0:
STV,1:0:1:27F1:806:2:11A0000:0:0:0:
UTV,1:0:1:27F6:806:2:11A0000:0:0:0:
UTV+1,1:0:1:27F7:806:2:11A0000:0:0:0:
ITV,1:0:1:2800:806:2:11A0000:0:0:0:
ITV+1,1:0:1:280F:806:2:11A0000:0:0:0:
ITV3,1:0:1:2814:806:2:11A0000:0:0:0:
ITV3+1,1:0:1:2815:806:2:11A0000:0:0:0:
BBC One W Mid,1:0:1:283D:7FE:2:11A0000:0:0:0:
BBC One Yk&Li,1:0:1:283F:7FE:2:11A0000:0:0:0:
BBC One E Mid,1:0:1:2841:7FE:2:11A0000:0:0:0:
BBC One East E,1:0:1:2842:7FE:2:11A0000:0:0:0:
BBC Parliament,1:0:1:2843:7FE:2:11A0000:0:0:0:
BBC One Wales,1:0:1:2847:7FE:2:11A0000:0:0:0:
BBC Two Wales,1:0:1:2848:7FE:2:11A0000:0:0:0:
CBBC,1:0:1:2870:800:2:11A0000:0:0:0:
BBC One South,1:0:1:2871:800:2:11A0000:0:0:0:
BBC One S West,1:0:1:2872:800:2:11A0000:0:0:0:
BBC One Oxford,1:0:1:2874:800:2:11A0000:0:0:0:
BBC NEWS,1:0:1:2876:800:2:11A0000:0:0:0:
BBC One NI,1:0:1:2879:800:2:11A0000:0:0:0:
BBC Two NI,1:0:1:287A:800:2:11A0000:0:0:0:
ITV,1:0:1:2F45:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F49:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F4E:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F58:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F62:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F71:80B:2:11A0000:0:0:0:
ITV Wales,1:0:1:2F76:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F7B:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F85:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F8A:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F8F:80B:2:11A0000:0:0:0:
4seven,1:0:1:5302:814:2:11A0000:0:0:0:
QVC Extra,1:0:1:571D:82B:2:11A0000:0:0:0:
QVC Style,1:0:1:571E:82B:2:11A0000:0:0:0:
QVC Beauty,1:0:1:571F:82B:2:11A0000:0:0:0:
QVC,1:0:1:5720:82B:2:11A0000:0:0:0:
TalkingPictures,1:0:1:584E:82E:2:11A0000:0:0:0:
DMAX+1,1:0:1:B59:7F3:2:11A0000:0:0:0:
Food Network,1:0:1:B5E:7F3:2:11A0000:0:0:0:
Food Netwrk+1,1:0:1:B60:7F3:2:11A0000:0:0:0:
DMAX,1:0:1:B64:7F3:2:11A0000:0:0:0:
JewelleryMaker,1:0:1:C486:811:2:11A0000:0:0:0:
CNN,1:0:1:C48C:811:2:11A0000:0:0:0:
Spotlight TV,1:0:1:C49B:811:2:11A0000:0:0:0:
BLAZE,1:0:1:C4AE:811:2:11A0000:0:0:0:
Inspiration TV,1:0:1:C4D6:811:2:11A0000:0:0:0:
Al Jazeera Eng,1:0:1:C4DB:811:2:11A0000:0:0:0:
Gems TV,1:0:1:C4EB:813:2:11A0000:0:0:0:
TRT World,1:0:1:C6C1:82A:2:11A0000:0:0:0:
CNBC,1:0:1:C6C2:82A:2:11A0000:0:0:0:
CGTN,1:0:1:C6C9:82A:2:11A0000:0:0:0:
CBS Drama,1:0:1:C6D7:840:2:11A0000:0:0:0:
Smithsonian,1:0:1:CB9E:83C:2:11A0000:0:0:0:
revelation,1:0:1:CB9F:83C:2:11A0000:0:0:0:
HGTV,1:0:1:CFE5:83F:2:11A0000:0:0:0:
Really,1:0:1:CFE9:83F:2:11A0000:0:0:0:
PBS America,1:0:1:D016:83F:2:11A0000:0:0:0:
Sony Action,1:0:1:D03E:83E:2:11A0000:0:0:0:
Sony Movies,1:0:1:D043:83E:2:11A0000:0:0:0:
Sony Classic,1:0:1:D048:83E:2:11A0000:0:0:0:
Sony Classic+1,1:0:1:D04D:83E:2:11A0000:0:0:0:
Tiny Pop,1:0:1:D052:83E:2:11A0000:0:0:0:
POP,1:0:1:D05C:83E:2:11A0000:0:0:0:
POP Max,1:0:1:D066:83E:2:11A0000:0:0:0:
Sony Channel,1:0:1:D07F:83E:2:11A0000:0:0:0:
Sony Channel+1,1:0:1:D084:83E:2:11A0000:0:0:0:
TJC,1:0:1:D110:832:2:11A0000:0:0:0:
SonLife,1:0:1:D138:832:2:11A0000:0:0:0:
GOD Channel,1:0:1:D361:830:2:11A0000:0:0:0:
RT,1:0:1:D363:830:2:11A0000:0:0:0:
YANGA!,1:0:1:D741:82F:2:11A0000:0:0:0:
Live 360,1:0:1:D78C:82F:2:11A0000:0:0:0:
horror channel,1:0:1:D7A2:840:2:11A0000:0:0:0:
CBS Justice,1:0:1:D7A9:840:2:11A0000:0:0:0:
CBS Reality,1:0:1:D7AE:840:2:11A0000:0:0:0:
CBS Reality+1,1:0:1:D7B1:840:2:11A0000:0:0:0:
horror ch+1,1:0:1:D7B2:840:2:11A0000:0:0:0:
S4C,1:0:1:D7FF:840:2:11A0000:0:0:0:
